id,question,answer,option1,option2,option3,option4,correctIndex
133,When configuring the Apache SOLR indexer mode what does DIRECT means ?,all index operations would be made directly on the index.,send request to Apache SOLR using its REST AP,all index operations would be made on a temporary index before indexes are switch,all index operations would be made directly on the index,access the embedded Apache SOLR server,2
134,Which view in backoffice is responsible for displaying the search results?,2. list view,advanced search,list view,editor area,base search,1
135,In order to test a DAO implementation what test should you write ?,"@IntegrationTest because testing the DAO (Data Access Object) typically requires integration testing because the DAO is responsible for accessing the data store and retrieving data from it. In order to test the DAO, you need to ensure that it is able to interact correctly with the data store and that it retrieves the correct data.",@UnitTest,@SqlTest,@IntegrationTest,@DatabaseTest,2
136,The SAP Commerce Region Cache supports following eviction strategies:,1. Least Recently Used (LRU) 2. Least Frequently Used (LFU) 3. First In First Out (FIFO),Least Recently Used (LRU),Least Frequently Used (LFU),First In First Out (FIFO),Last In First Out (LIFO),0
137,What is cached by SAP Hybris ?,Result of flexible search queries and Item attributes.,Result of flexible search queries,Item attributes,Media images,User sessions,0
138,"When writing a new integration test class, what already existing class should you extend to assure isolation ? ServiceLayerTest ServiceLayerIsolatedTest ServiceLayerRollbackTransactionalTest Correct answer ServiceLayerTransactionalTest",ServiceLayerTransactionalTest,ServiceLayerTransactionalTest,,,,-1
139,When writing unit tests how should you simulate pojo dependencies to external services fascades ect.?,The test class should extend ServicelayerTest,Wrap all tests inside a transaction,Use Mockito to stub dependencies,The test class should extend ServicelayerTest,the test class should extend HybriseUnitTests,2
140,Which supposedly true about latest Content Management System (CMS) in SAP Commerce?,2. Headless CMS is latest,Coupled CMS is latest,Headless CMS is latest,Decoupled CMS is latest,Decoupled CMS is subset of Headless CMS,1
141,Why is it considered bad practice to call directly CartService.getSessionCart().getEntries().isEmpty() to test if a customer already has a cart ?,1,This will create a cart if none is yet existing and the cart creation is expensive,getEntries() could be null,"getSessionCart() is deprecated, use getInMemoryCart() instead",The customerCartService wrapper is preferred to the raw cart service,0
142,All CMS item types extend ?,"2, 3",CatalogAware,CMSItem or CMSRelation,GenericItem,CMS Item,1
143,Is this a valid impex file ? INSERTUPDATE Employee;UID;name;groups(uid);description;passwo rd;CustomerSupportAdministrator;Customer Support Administrator;customersupportadministratorgroup;This generic Customer Support Administrator.;1234,2,"yes, if you add a password encryption [password=md5]",no,"yes, if you use the legacy mode",yes,1
144,Is this a valid impex import ? INSERTUPDATE Title;code % beforeEach: print(line[1]); ;Doctor,No. The impex import statement is not valid.,No,Yes,Yes only if the title Doctor doesn't exist yet,Yes only if bean shell execution is activated,0
145,Select the exixting Impex header mode ?,REMOVE.,UPDATE-INSERT,DELET,INSERTED,REMOVE,3
146,What happen when you run the following Impex script when the currency doesn't exist yet ? UPDATE Currency;isocode[unique=true];conversion;digits;symbol ;GBP;1;2;£,"The import logs a warning, creates a temporary file, and tries to import it later on. When running an Impex script that updates a currency with a unique isocode that does not exist yet, the import logs a warning and creates a temporary file to try to import it later on. This allows the import process to handle the missing currency and attempt to import it at a later time when the currency is available. By creating a temporary file, the import process can manage the missing currency and ensure that the update is processed correctly once the currency is created in the system.",The import ignores non matching value lines when doing only UPDATE,"The import logs a warning, creates a temporary file, and try to import it later on","The import fails, log an error and move on to the next file",The import logs a warning and continue to resolve the remaining value lines,-1
147,"What happen when you update SAP Hybris ? Update existing type system according to the new items.xml definition (if possible, see rules above) it updates items type code according to items.xml files none of the above it drops database tables if item type are not defined anymore Domain Other",The type system is updated to reflect compatible changes in the items.xml definitions; incompatible changes require migration or other corrective action.,The type system is updated to reflect compatible changes in the items.xml definitions; incompatible changes require migration or other corrective action.,,,,-1
148,"What is wrong with the following item type definition ? <itemtype code=""Subscription"" extends=""GenericItem"" <attributes <attribute type=""java.lang.String"" qualifier=""code"" <persistence type=""property"" / <modifiers unique=""true""/ </attribute </attributes <indexes <index name=""codeIdx"" <key attribute=""code""/ </index </indexes </itemtype",1,Missing deployment data,Missing a Jalo class definition,GenericItem is not a valid item,An index needs to be on at least two attributes,0
149,When creating a new cms component item type what item type should yours extend from ?,"2. SimpleCMSComponent, 3. AbstractCMSComponent",CMSComponentType,SimpleCMSComponent,AbstractCMSComponent,CMSItem,1
150,"When you create the following item type A what classes are being generated ? <itemtype code=""A"" extends=""ItemB"" generate=""false"" <attributes <attribute type=""java.lang.String"" qualifier=""code"" <persistence type=""property"" / <modifiers unique=""true""/ </attribute </attributes </itemtype",AModel.java,GeneratedA.java,A.java,AJalo.java,AModel.java,3
151,When you run an impex import query from the HAC with the default configuration what statements are true ?,You are using the service layer.,You are using the service layer,You are running distributed impexes,You are using the jalo layer,Import relaxed is activated,0
152,How do you create a new interceptor ?,Implement the appropriate interceptor interface and register the implementation as a Spring bean with the required type or item mapping.,Run a system update,Declare it along with the item type definition,Provide an implementation of one of Interceptor interface,Add a Spring bean mapping the item type and the Interceptor implementation,-1
153,"When the validation framework starts or is reloaded with the reloadValidationEngine method, which of the following steps are performed?","1, 2, 3",All constraint types are reloaded from the database.,All constraint types are transformed from SAP Commerce Models to an XML representation expected by the validation engine.,All contraint types are loaded into the validation engine.,Validation Service is implicitly called to validate all models.,0
154,Which of the following Interface are vallid SAP Hybris interceptors,"PrepareInterceptor, Validate Interceptor, Removeinerceptor",Removeinerceptor,Validate Interceptor,Deletinterceptor,CheckInterceptor,0
155,Which of the following is not an interceptor type in SAP Commerce?,4. Load,Init Default,Prepare,Validate,Load,3
